expected_return,volatility,sharpe,alpha_capm_mvo,alpha_hrp,alpha_mpt,alpha_risk_parity,w_SPY,w_EEM,w_VIG,w_GLD,w_BTC,w_LATAM,w_CORP,frontier_rank,frontier_pct
0.18850355979069477,0.07741083319304815,2.0614173836909413,0.05757930289454077,0.3003269671999291,0.46041841471968664,0.18167531518584334,0.03376731078870113,0.028164890745367974,0.02234906846144129,0.09879865937946795,0.023852001644424307,0.5619019231180564,0.23116614586254075,21,0.21
0.1891310509584255,0.07783182635085938,2.0583292967544637,0.03375336371563202,0.23911558661148657,0.44519825660209056,0.2819327930707907,0.03164211689453234,0.029417544156027223,0.026692658891897623,0.10598960367810048,0.02477423805043921,0.5524122588274061,0.2290715795015969,22,0.22
0.19256444699012276,0.07896021437010607,2.0723971652681996,0.05969638498901625,0.29536549046870914,0.47774530327600645,0.16719282126626814,0.0335661685272482,0.027595606857294952,0.02150181720795765,0.09968416183862197,0.024206114295782077,0.5551005728855233,0.23834555838757182,23,0.23
0.193371861956488,0.07939220004923755,2.0712908735865376,0.03628266975831583,0.2379392262553649,0.46458442205640305,0.2611936819299162,0.031215610569812383,0.02855493437263537,0.025471413775750743,0.10655186961231236,0.02507126663274617,0.546283302154568,0.23685160288217497,24,0.24
0.19372083558994913,0.07941115353007683,2.075191024230474,0.04379312485095955,0.26052900993246936,0.4730425437362214,0.2226353214803497,0.03147798377533273,0.027734221909057093,0.02363652212292816,0.1040948295104728,0.024749071937787605,0.5495164424469589,0.23879092829746268,25,0.25
0.19597180512919649,0.08073025762290548,2.0691657315020837,0.06848699702685127,0.2692564532096139,0.48448375956014006,0.17777279020339476,0.03701055703464007,0.029812042990073315,0.022907803092899325,0.10169648698134641,0.02500651763743187,0.5412250082328908,0.24234158403071818,26,0.26
0.19666346416084474,0.08085389184931134,2.0745561872632083,0.031361446072201114,0.2054350248306286,0.46980403284657163,0.29339949625059875,0.031380330507541444,0.029388684790074966,0.027041101726631975,0.110205354947734,0.025823685637191823,0.5352595359260824,0.24090130646474336,27,0.27
0.19703986132857884,0.08124011632108177,2.069326662502675,0.04313835288302342,0.2095189499622825,0.471950034322673,0.2753926628320211,0.03422489481357304,0.0306007891332417,0.02693078705878315,0.1089579109877553,0.025907793898196377,0.5321052024676535,0.241272621640797,28,0.28
0.19840866104506355,0.0813186768190032,2.0841600615531934,0.03587801321509402,0.2256172962276976,0.48429561169417834,0.2542090788630301,0.03059565670377088,0.02790651624491394,0.024859506845611206,0.10841632617204472,0.02559225573748065,0.5371693166023505,0.24546042169382815,29,0.29
0.19959232073358735,0.08171903597892663,2.088433816290394,0.05336871698151251,0.2621395351759348,0.5004479948187617,0.18404375302379114,0.032324012205350715,0.02713647684199637,0.021854967746984137,0.10410409060281424,0.025170842968412706,0.5399372295136049,0.24947238012083703,30,0.3
