scenario_id,base_model,annual_return_oos,annual_volatility_oos,sharpe_oos,max_drawdown_oos,total_return_oos
83,capm_mvo,0.13430521134649442,0.09316870606601987,0.9569442778211866,-0.09112784620985159,0.24674424704974096
83,risk_parity,0.14867959279232723,0.04891820009149813,2.022177901684963,-0.016547737093836612,0.27452419609565504
83,hrp,0.06490821756009213,0.029512216427291356,0.7400873790363152,-0.012821934694609904,0.11633955207924362
84,mpt,0.16060953981950932,0.05755857451786541,2.3536778283768935,-0.015732574465292415,0.2977789869970393
84,capm_mvo,0.6061035059189517,0.12899863543684348,3.6807377646047112,-0.013671324512935845,1.2914146093373824
84,risk_parity,0.1350022692331021,0.057272085955311476,1.9714921472303721,-0.02462795838897125,0.24808532618102563
84,hrp,0.02007470458005911,0.014902719369035849,0.27227215850636066,-0.013391276832485755,0.03539475800254599
85,mpt,0.31752157826743277,0.24040218572822036,1.1237607765142577,-0.09968931832503103,0.6202276500745665
85,capm_mvo,0.31445412111800053,0.24860761845060014,1.0833150900845627,-0.10221084609979747,0.6136320328348828
85,risk_parity,0.09715951034146575,0.057821809290261345,1.0700166964879865,-0.03785918497603735,0.1761754249177665
85,hrp,0.059261037108129244,0.03536457878909827,0.721491580304664,-0.019714463758715994,0.10600030389053727
86,mpt,1.2789360758292738,0.2553110209959698,3.308223697352051,-0.034481970167392184,3.226990297162576
86,capm_mvo,0.03859721742808375,0.06203279259384525,0.06339898987266489,-0.05469808093447881,0.06851966853276092
86,risk_parity,0.11692588034412399,0.05244763585042199,1.4596217506192222,-0.024026978398838716,0.21350793280754288
86,hrp,0.03095142569617315,0.017711237489303207,-0.29179391553393913,-0.00919720534166113,0.05479207032011413
87,mpt,0.35568827913391066,0.11266140885211665,2.552855781831436,-0.04799738552972821,0.7032551951074173
87,capm_mvo,0.16125772932561566,0.10110302260739323,1.275098287945782,-0.08143855127258848,0.2990476479949262
87,risk_parity,0.155390154988722,0.061488980011027795,1.961666294597664,-0.03319207024237203,0.287582779254665
87,hrp,0.07108422327088038,0.0380806861483573,1.1310638064839873,-0.008843598390102847,0.12769418009229216
88,mpt,0.6062360090063397,0.19626576085878567,2.3679334306395563,-0.039442571196615206,1.2917454414281617
88,capm_mvo,0.13096190232975347,0.11178319953641938,0.8419666316508684,-0.055891329465481365,0.24032060093722696
