date,muy_conservador,conservador,moderado,levemente_riesgoso,muy_riesgoso,Plazo fijo UVA,Plazo fijo BADLAR,Money market,Merval
2024-11-30,1755.3013855817658,1800.5165958517657,1819.1174016004109,1863.5417987186936,1891.8390784731857,2709.7744248440376,745.0635740164622,864.1725530305453,5630.950623662263
2024-12-31,1883.714611352447,1932.3115048885188,1951.9438541558306,1995.5227176314972,2022.1329930131192,2778.7141313391144,764.846719573799,887.0675786535407,6317.49775090612
2025-01-31,1907.0756378586827,1958.3456858587558,1980.1683057066784,2025.9075865901357,2053.8788689425323,2858.4746364073067,784.1200891053392,910.4042147430775,6394.854611789441
2025-02-28,2019.2745070289302,2075.6164215839185,2097.3782889348436,2143.213258289444,2169.3123604863545,2927.4366472206966,800.7615633794264,929.8824858034752,5500.0593441622295
2025-03-31,2179.5853958930693,2244.9046577795702,2270.7089290703148,2311.3014495422417,2327.8105231379386,2996.2322737037484,818.1556635095236,950.9918922662233,5831.588747947889
2025-04-30,2008.5467685734461,2069.0410939304547,2095.656368736966,2130.2050375990457,2141.1718357419504,3092.2529429838805,837.7857485636861,973.3222531189739,5238.354082180194
2025-05-31,2043.3791907973205,2106.144446216172,2134.7032109863712,2175.9012327527767,2193.0202781404428,3194.9211603638464,858.5422379977786,994.6106476598374,5682.557603732598
2025-06-30,2097.410866055157,2163.1765211407437,2191.834311315286,2240.867777252899,2264.5223216314157,3265.8074500252897,878.9411556129911,1017.2201446820297,4974.000773967561
2025-07-31,2366.8181971143345,2441.29246225435,2473.121841125311,2531.6332762744446,2560.033488786947,3323.330731350842,899.3018986596086,1039.9713405993969,5783.589793203048
2025-08-31,2391.7887235750204,2465.6806442235074,2498.916324649771,2558.221647056145,2589.8096740279566,3379.8810004454003,922.5202944365666,1069.3711978350966,4949.11612106608
2025-09-30,2742.763674070455,2832.486413056462,2873.418103598075,2938.9453234388066,2977.927264858121,3450.173303473083,956.9896512287361,1101.3519992329082,4421.987859879955
2025-10-31,2712.84981757061,2803.2417816338366,2843.4313398976233,2916.4795496526544,2959.3682225032976,3523.1883217801887,986.0432034132879,1137.3387242837814,7486.857013482594
2025-11-30,2749.068354420644,2834.3663473380298,2876.424239198565,2945.5408927262106,2983.8341698898857,3596.4623283794326,1010.253280451632,1159.7623080938836,7546.358263200834
2025-12-31,2765.299212668374,2849.0211309927995,2891.5827544028703,2961.415024116407,2998.776650598297,3689.967382474683,1033.4484661966005,1179.9485409275417,7609.06110553686
